# run_id=045aeef4-8786-4166-845f-7f82a576d92f
# config_label=Mac-local-MPS
# started_at=2026-06-04T12:24:28.812Z
# duration_ms=65026
# warmup_ms=5000
# protocol_version=1.0.0
# file_name=D# Fat (Original Mix).wav
# file_duration_ms=328593.7708333333
# chunk_size=2048
# sample_rate=48000
# chunks_sent=1523
# chunks_received=1523
# beats_real=16
# beats_synthetic=110
# lighting_frames=147
# device=mps
# beat_tracker=beatnet
# skip_bart=skipbart
# note_server_skip_ingest_queue_ms=time to enqueue chunk (not inference)
# note_server_skip_drain_queue_ms=time to dequeue predictions (not inference)
# note_server_skip_inference_ms=OpenL3 embed + Skip-BART decode on worker thread
# note_server_stage_raw_t_ms=blank for backend samples (no client clock)
t_ms,metric,value
875,beat.e2e_ms,24.000
875,server.dwell_ms,22.189
1102,beat.e2e_ms,38.000
1102,server.dwell_ms,35.809
1122,network.rtt_ms,1.000
2607,beat.e2e_ms,49.000
2607,server.dwell_ms,43.668
3466,beat.e2e_ms,55.000
3466,server.dwell_ms,41.580
4305,beat.e2e_ms,38.000
4305,server.dwell_ms,34.368
4616,lighting.frame,1.000
4616,lighting.e2e_ms,11.000
4616,server.dwell_ms,2.062
4616,lighting.frame,2.000
4616,lighting.e2e_ms,11.000
4616,lighting.frame,3.000
4616,lighting.e2e_ms,11.000
4616,lighting.frame,4.000
4616,lighting.e2e_ms,11.000
4616,lighting.frame,5.000
4616,lighting.e2e_ms,11.000
4616,lighting.frame,6.000
4616,lighting.e2e_ms,11.000
4616,lighting.frame,7.000
4616,lighting.e2e_ms,11.000
4616,lighting.frame,8.000
4616,lighting.e2e_ms,11.000
4616,lighting.frame,9.000
4616,lighting.e2e_ms,11.000
4617,lighting.frame,10.000
4617,lighting.e2e_ms,12.000
4617,lighting.frame,11.000
4617,lighting.e2e_ms,12.000
4617,lighting.frame,12.000
4617,lighting.e2e_ms,12.000
4617,lighting.frame,13.000
4617,lighting.e2e_ms,12.000
4617,lighting.frame,14.000
4617,lighting.e2e_ms,12.000
4617,lighting.frame,15.000
4617,lighting.e2e_ms,12.000
4617,lighting.frame,16.000
4617,lighting.e2e_ms,12.000
4617,lighting.frame,17.000
4617,lighting.e2e_ms,12.000
4617,lighting.frame,18.000
4617,lighting.e2e_ms,12.000
5080,beat.e2e_ms,5.000
5080,server.dwell_ms,0.712
5846,beat.e2e_ms,88.000
5846,server.dwell_ms,74.937
6120,network.rtt_ms,4.000
6717,beat.e2e_ms,104.000
6717,server.dwell_ms,94.819
7084,beat.e2e_ms,2.000
7084,server.dwell_ms,0.734
7552,beat.e2e_ms,2.000
7552,server.dwell_ms,0.790
8021,beat.e2e_ms,2.000
8021,server.dwell_ms,0.695
8448,beat.e2e_ms,2.000
8448,server.dwell_ms,0.861
8979,beat.e2e_ms,22.000
8979,server.dwell_ms,19.927
9409,beat.e2e_ms,25.000
9409,server.dwell_ms,21.516
9523,lighting.frame,19.000
9523,lighting.e2e_ms,10.000
9523,server.dwell_ms,3.454
9524,lighting.frame,20.000
9524,lighting.e2e_ms,11.000
9524,lighting.frame,21.000
9524,lighting.e2e_ms,11.000
9524,lighting.frame,22.000
9524,lighting.e2e_ms,11.000
9524,lighting.frame,23.000
9524,lighting.e2e_ms,11.000
9524,lighting.frame,24.000
9524,lighting.e2e_ms,11.000
9524,lighting.frame,25.000
9524,lighting.e2e_ms,11.000
9524,lighting.frame,26.000
9524,lighting.e2e_ms,11.000
9524,lighting.frame,27.000
9524,lighting.e2e_ms,11.000
9524,lighting.frame,28.000
9524,lighting.e2e_ms,11.000
9525,lighting.frame,29.000
9525,lighting.e2e_ms,12.000
9525,lighting.frame,30.000
9525,lighting.e2e_ms,12.000
9525,lighting.frame,31.000
9525,lighting.e2e_ms,12.000
9525,lighting.frame,32.000
9525,lighting.e2e_ms,12.000
9525,lighting.frame,33.000
9525,lighting.e2e_ms,12.000
9526,lighting.frame,34.000
9526,lighting.e2e_ms,13.000
9526,lighting.frame,35.000
9526,lighting.e2e_ms,13.000
9526,lighting.frame,36.000
9526,lighting.e2e_ms,13.000
9526,lighting.frame,37.000
9526,lighting.e2e_ms,13.000
9526,lighting.frame,38.000
9526,lighting.e2e_ms,13.000
9526,lighting.frame,39.000
9526,lighting.e2e_ms,13.000
9912,beat.e2e_ms,10.000
9912,server.dwell_ms,1.133
10335,beat.e2e_ms,12.000
10335,server.dwell_ms,0.793
10844,beat.e2e_ms,9.000
10844,server.dwell_ms,1.156
11139,network.rtt_ms,22.000
11277,beat.e2e_ms,15.000
11277,server.dwell_ms,0.901
11838,beat.e2e_ms,106.000
11838,server.dwell_ms,97.009
12236,beat.e2e_ms,35.000
12236,server.dwell_ms,16.501
12676,beat.e2e_ms,6.000
12676,server.dwell_ms,3.507
13155,beat.e2e_ms,15.000
13155,server.dwell_ms,3.636
13718,beat.e2e_ms,64.000
13718,server.dwell_ms,59.191
14122,beat.e2e_ms,2.000
14122,server.dwell_ms,0.753
14549,beat.e2e_ms,2.000
14549,server.dwell_ms,0.960
15019,beat.e2e_ms,3.000
15019,server.dwell_ms,0.979
15492,beat.e2e_ms,6.000
15492,server.dwell_ms,1.037
16022,beat.e2e_ms,24.000
16022,server.dwell_ms,17.403
16119,network.rtt_ms,1.000
