# run_id=65a4f432-5891-47a1-85f2-a593a874b941
# config_label=Mac-local-MPS
# started_at=2026-06-04T12:26:04.870Z
# duration_ms=65017
# warmup_ms=5000
# protocol_version=1.0.0
# file_name=D# Fat (Original Mix).wav
# file_duration_ms=328593.7708333333
# chunk_size=2048
# sample_rate=48000
# chunks_sent=1524
# chunks_received=1524
# beats_real=21
# beats_synthetic=111
# lighting_frames=125
# device=mps
# beat_tracker=beatnet
# skip_bart=skipbart
# note_server_skip_ingest_queue_ms=time to enqueue chunk (not inference)
# note_server_skip_drain_queue_ms=time to dequeue predictions (not inference)
# note_server_skip_inference_ms=OpenL3 embed + Skip-BART decode on worker thread
# note_server_stage_raw_t_ms=blank for backend samples (no client clock)
t_ms,metric,value
1066,beat.e2e_ms,35.000
1066,server.dwell_ms,32.735
1706,beat.e2e_ms,35.000
1706,server.dwell_ms,32.844
1781,network.rtt_ms,1.000
2777,beat.e2e_ms,39.000
2777,server.dwell_ms,32.915
3407,beat.e2e_ms,29.000
3407,server.dwell_ms,27.592
3836,beat.e2e_ms,32.000
3836,server.dwell_ms,29.820
4404,beat.e2e_ms,2.000
4404,server.dwell_ms,0.648
5008,beat.e2e_ms,9.000
5008,server.dwell_ms,0.771
5603,beat.e2e_ms,6.000
5603,server.dwell_ms,0.828
6281,beat.e2e_ms,2.000
6281,server.dwell_ms,0.709
6334,lighting.frame,1.000
6334,lighting.e2e_ms,12.000
6334,server.dwell_ms,2.011
6335,lighting.frame,2.000
6335,lighting.e2e_ms,13.000
6335,lighting.frame,3.000
6335,lighting.e2e_ms,13.000
6335,lighting.frame,4.000
6335,lighting.e2e_ms,13.000
6335,lighting.frame,5.000
6335,lighting.e2e_ms,13.000
6335,lighting.frame,6.000
6335,lighting.e2e_ms,13.000
6335,lighting.frame,7.000
6335,lighting.e2e_ms,13.000
6335,lighting.frame,8.000
6335,lighting.e2e_ms,13.000
6335,lighting.frame,9.000
6335,lighting.e2e_ms,13.000
6335,lighting.frame,10.000
6335,lighting.e2e_ms,13.000
6335,lighting.frame,11.000
6335,lighting.e2e_ms,13.000
6335,lighting.frame,12.000
6335,lighting.e2e_ms,13.000
6335,lighting.frame,13.000
6335,lighting.e2e_ms,13.000
6335,lighting.frame,14.000
6335,lighting.e2e_ms,13.000
6335,lighting.frame,15.000
6335,lighting.e2e_ms,13.000
6335,lighting.frame,16.000
6335,lighting.e2e_ms,13.000
6335,lighting.frame,17.000
6335,lighting.e2e_ms,13.000
6335,lighting.frame,18.000
6335,lighting.e2e_ms,13.000
6784,network.rtt_ms,4.000
6913,beat.e2e_ms,35.000
6913,server.dwell_ms,7.618
7706,beat.e2e_ms,60.000
7706,server.dwell_ms,55.358
8206,beat.e2e_ms,50.000
8206,server.dwell_ms,0.637
8664,beat.e2e_ms,81.000
8664,server.dwell_ms,0.458
9055,beat.e2e_ms,3.000
9055,server.dwell_ms,0.732
9812,beat.e2e_ms,34.000
9812,server.dwell_ms,31.195
10249,beat.e2e_ms,2.000
10249,server.dwell_ms,0.809
10726,beat.e2e_ms,6.000
10726,server.dwell_ms,0.890
11033,lighting.frame,19.000
11033,lighting.e2e_ms,18.000
11033,server.dwell_ms,4.182
11034,lighting.frame,20.000
11034,lighting.e2e_ms,19.000
11034,lighting.frame,21.000
11034,lighting.e2e_ms,19.000
11034,lighting.frame,22.000
11034,lighting.e2e_ms,19.000
11034,lighting.frame,23.000
11034,lighting.e2e_ms,19.000
11034,lighting.frame,24.000
11034,lighting.e2e_ms,19.000
11034,lighting.frame,25.000
11034,lighting.e2e_ms,19.000
11034,lighting.frame,26.000
11034,lighting.e2e_ms,19.000
11034,lighting.frame,27.000
11034,lighting.e2e_ms,19.000
11034,lighting.frame,28.000
11034,lighting.e2e_ms,19.000
11034,lighting.frame,29.000
11034,lighting.e2e_ms,19.000
11034,lighting.frame,30.000
11034,lighting.e2e_ms,19.000
11034,lighting.frame,31.000
11034,lighting.e2e_ms,19.000
11034,lighting.frame,32.000
11034,lighting.e2e_ms,19.000
11034,lighting.frame,33.000
11034,lighting.e2e_ms,19.000
11034,lighting.frame,34.000
11034,lighting.e2e_ms,19.000
11034,lighting.frame,35.000
11034,lighting.e2e_ms,19.000
11034,lighting.frame,36.000
11034,lighting.e2e_ms,19.000
11034,lighting.frame,37.000
11034,lighting.e2e_ms,19.000
11034,lighting.frame,38.000
11034,lighting.e2e_ms,19.000
11035,lighting.frame,39.000
11035,lighting.e2e_ms,20.000
11320,beat.e2e_ms,49.000
11320,server.dwell_ms,33.149
11748,beat.e2e_ms,8.000
11748,server.dwell_ms,2.204
11802,network.rtt_ms,18.000
12214,beat.e2e_ms,4.000
12214,server.dwell_ms,1.902
12686,beat.e2e_ms,4.000
12686,server.dwell_ms,1.601
13075,beat.e2e_ms,12.000
13075,server.dwell_ms,3.750
13535,beat.e2e_ms,3.000
13535,server.dwell_ms,0.737
14007,beat.e2e_ms,5.000
14007,server.dwell_ms,1.151
14596,beat.e2e_ms,124.000
14596,server.dwell_ms,109.772
14858,beat.e2e_ms,3.000
14858,server.dwell_ms,0.820
15412,beat.e2e_ms,2.000
15412,server.dwell_ms,0.802
15887,beat.e2e_ms,8.000
15887,server.dwell_ms,0.872
16430,beat.e2e_ms,39.000
16430,server.dwell_ms,34.956
16781,network.rtt_ms,1.000
16844,beat.e2e_ms,26.000
16844,server.dwell_ms,23.295
17334,beat.e2e_ms,4.000
17334,server.dwell_ms,0.695
17759,beat.e2e_ms,3.000
17759,server.dwell_ms,0.820
18018,lighting.frame,40.000
18018,lighting.e2e_ms,5.000
18018,server.dwell_ms,1.121
18019,lighting.frame,41.000
18019,lighting.e2e_ms,6.000
18025,lighting.frame,42.000
18025,lighting.e2e_ms,12.000
18025,lighting.frame,43.000
18025,lighting.e2e_ms,12.000
18025,lighting.frame,44.000
18025,lighting.e2e_ms,12.000
18025,lighting.frame,45.000
18025,lighting.e2e_ms,12.000
18025,lighting.frame,46.000
18025,lighting.e2e_ms,12.000
18025,lighting.frame,47.000
18025,lighting.e2e_ms,12.000
18025,lighting.frame,48.000
18025,lighting.e2e_ms,12.000
18025,lighting.frame,49.000
18025,lighting.e2e_ms,12.000
18025,lighting.frame,50.000
18025,lighting.e2e_ms,12.000
18026,lighting.frame,51.000
18026,lighting.e2e_ms,13.000
18026,lighting.frame,52.000
18026,lighting.e2e_ms,13.000
18026,lighting.frame,53.000
18026,lighting.e2e_ms,13.000
18026,lighting.frame,54.000
18026,lighting.e2e_ms,13.000
18026,lighting.frame,55.000
18026,lighting.e2e_ms,13.000
18026,lighting.frame,56.000
18026,lighting.e2e_ms,13.000
18026,lighting.frame,57.000
18026,lighting.e2e_ms,13.000
18026,lighting.frame,58.000
18026,lighting.e2e_ms,13.000
18026,lighting.frame,59.000
18026,lighting.e2e_ms,13.000
18026,lighting.frame,60.000
18026,lighting.e2e_ms,13.000
18777,beat.e2e_ms,594.000
18777,server.dwell_ms,12.056
18818,beat.e2e_ms,165.000
18818,server.dwell_ms,0.572
19211,beat.e2e_ms,47.000
19211,server.dwell_ms,37.630
19558,beat.e2e_ms,9.000
19558,server.dwell_ms,2.817
19936,beat.e2e_ms,3.000
19936,server.dwell_ms,0.982
20494,beat.e2e_ms,3.000
20494,server.dwell_ms,1.021
21004,beat.e2e_ms,5.000
21004,server.dwell_ms,1.449
21432,beat.e2e_ms,4.000
21432,server.dwell_ms,2.257
21850,network.rtt_ms,70.000
21985,beat.e2e_ms,4.000
21985,server.dwell_ms,1.848
22454,beat.e2e_ms,4.000
22454,server.dwell_ms,0.954
22926,beat.e2e_ms,7.000
22926,server.dwell_ms,2.557
23393,beat.e2e_ms,5.000
23393,server.dwell_ms,2.407
23945,beat.e2e_ms,2.000
23945,server.dwell_ms,1.037
24416,beat.e2e_ms,2.000
24416,server.dwell_ms,0.927
24888,beat.e2e_ms,6.000
24888,server.dwell_ms,1.004
25399,beat.e2e_ms,47.000
25399,server.dwell_ms,40.020
25823,beat.e2e_ms,3.000
25823,server.dwell_ms,1.021
26293,beat.e2e_ms,3.000
26293,server.dwell_ms,1.344
26766,beat.e2e_ms,7.000
26766,server.dwell_ms,1.216
26781,network.rtt_ms,1.000
27237,beat.e2e_ms,8.000
27237,server.dwell_ms,1.011
27727,beat.e2e_ms,29.000
27727,server.dwell_ms,27.330
28169,beat.e2e_ms,2.000
28169,server.dwell_ms,0.828
28307,lighting.frame,61.000
28307,lighting.e2e_ms,12.000
28307,server.dwell_ms,5.130
28307,lighting.frame,62.000
28307,lighting.e2e_ms,12.000
28307,lighting.frame,63.000
28307,lighting.e2e_ms,12.000
28307,lighting.frame,64.000
28307,lighting.e2e_ms,12.000
28307,lighting.frame,65.000
28307,lighting.e2e_ms,12.000
28307,lighting.frame,66.000
28307,lighting.e2e_ms,12.000
28307,lighting.frame,67.000
28307,lighting.e2e_ms,12.000
28307,lighting.frame,68.000
28307,lighting.e2e_ms,12.000
28307,lighting.frame,69.000
28307,lighting.e2e_ms,12.000
28307,lighting.frame,70.000
28307,lighting.e2e_ms,12.000
28307,lighting.frame,71.000
28307,lighting.e2e_ms,12.000
28308,lighting.frame,72.000
28308,lighting.e2e_ms,13.000
28308,lighting.frame,73.000
28308,lighting.e2e_ms,13.000
28308,lighting.frame,74.000
28308,lighting.e2e_ms,13.000
28308,lighting.frame,75.000
28308,lighting.e2e_ms,13.000
28308,lighting.frame,76.000
28308,lighting.e2e_ms,13.000
28308,lighting.frame,77.000
28308,lighting.e2e_ms,13.000
28308,lighting.frame,78.000
28308,lighting.e2e_ms,13.000
28308,lighting.frame,79.000
28308,lighting.e2e_ms,13.000
28308,lighting.frame,80.000
28308,lighting.e2e_ms,13.000
28308,lighting.frame,81.000
28308,lighting.e2e_ms,13.000
28308,lighting.frame,82.000
28308,lighting.e2e_ms,13.000
28734,beat.e2e_ms,12.000
28734,server.dwell_ms,1.917
29172,beat.e2e_ms,24.000
29172,server.dwell_ms,1.170
29579,beat.e2e_ms,4.000
29579,server.dwell_ms,1.089
29963,beat.e2e_ms,4.000
29963,server.dwell_ms,1.270
30570,beat.e2e_ms,56.000
30570,server.dwell_ms,1.287
31001,beat.e2e_ms,18.000
31001,server.dwell_ms,1.176
31458,beat.e2e_ms,4.000
31458,server.dwell_ms,1.159
31849,network.rtt_ms,68.000
32040,beat.e2e_ms,76.000
32040,server.dwell_ms,67.518
32499,beat.e2e_ms,108.000
32499,server.dwell_ms,100.626
32870,beat.e2e_ms,9.000
32870,server.dwell_ms,1.410
33336,beat.e2e_ms,6.000
33336,server.dwell_ms,1.499
33803,beat.e2e_ms,4.000
33803,server.dwell_ms,1.057
34276,beat.e2e_ms,7.000
34276,server.dwell_ms,5.266
34778,beat.e2e_ms,40.000
34778,server.dwell_ms,37.283
35210,beat.e2e_ms,3.000
35210,server.dwell_ms,1.049
35682,beat.e2e_ms,6.000
35682,server.dwell_ms,3.301
36155,beat.e2e_ms,9.000
36155,server.dwell_ms,6.061
36623,beat.e2e_ms,6.000
36623,server.dwell_ms,3.720
36781,network.rtt_ms,1.000
37048,beat.e2e_ms,6.000
37048,server.dwell_ms,3.286
37540,beat.e2e_ms,29.000
37540,server.dwell_ms,23.728
38030,beat.e2e_ms,4.000
38030,server.dwell_ms,1.594
38499,beat.e2e_ms,7.000
38499,server.dwell_ms,2.971
38966,beat.e2e_ms,4.000
38966,server.dwell_ms,1.037
39471,beat.e2e_ms,40.000
39471,server.dwell_ms,38.200
39903,beat.e2e_ms,3.000
39903,server.dwell_ms,1.176
40374,beat.e2e_ms,4.000
40374,server.dwell_ms,1.222
40841,beat.e2e_ms,2.000
40841,server.dwell_ms,1.035
41317,beat.e2e_ms,8.000
41317,server.dwell_ms,1.574
41809,beat.e2e_ms,31.000
41809,server.dwell_ms,28.485
41809,network.rtt_ms,29.000
42250,beat.e2e_ms,3.000
42250,server.dwell_ms,0.985
42719,beat.e2e_ms,3.000
42719,server.dwell_ms,1.261
43194,beat.e2e_ms,8.000
43194,server.dwell_ms,1.446
43749,beat.e2e_ms,51.000
43749,server.dwell_ms,48.955
44168,beat.e2e_ms,43.000
44168,server.dwell_ms,38.055
44359,lighting.frame,83.000
44359,lighting.e2e_ms,21.000
44359,server.dwell_ms,16.554
44359,lighting.frame,84.000
44359,lighting.e2e_ms,21.000
44359,lighting.frame,85.000
44359,lighting.e2e_ms,21.000
44359,lighting.frame,86.000
44359,lighting.e2e_ms,21.000
44359,lighting.frame,87.000
44359,lighting.e2e_ms,21.000
44359,lighting.frame,88.000
44359,lighting.e2e_ms,21.000
44359,lighting.frame,89.000
44359,lighting.e2e_ms,21.000
44359,lighting.frame,90.000
44359,lighting.e2e_ms,21.000
44359,lighting.frame,91.000
44359,lighting.e2e_ms,21.000
44359,lighting.frame,92.000
44359,lighting.e2e_ms,21.000
44359,lighting.frame,93.000
44359,lighting.e2e_ms,21.000
44359,lighting.frame,94.000
44359,lighting.e2e_ms,21.000
44359,lighting.frame,95.000
44359,lighting.e2e_ms,21.000
44359,lighting.frame,96.000
44359,lighting.e2e_ms,21.000
44359,lighting.frame,97.000
44359,lighting.e2e_ms,21.000
44359,lighting.frame,98.000
44359,lighting.e2e_ms,21.000
44359,lighting.frame,99.000
44359,lighting.e2e_ms,21.000
44359,lighting.frame,100.000
44359,lighting.e2e_ms,21.000
44359,lighting.frame,101.000
44359,lighting.e2e_ms,21.000
44359,lighting.frame,102.000
44359,lighting.e2e_ms,21.000
44359,lighting.frame,103.000
44359,lighting.e2e_ms,21.000
44672,beat.e2e_ms,78.000
44672,server.dwell_ms,1.073
45068,beat.e2e_ms,5.000
45068,server.dwell_ms,1.112
45536,beat.e2e_ms,4.000
45536,server.dwell_ms,1.271
46007,beat.e2e_ms,5.000
46007,server.dwell_ms,1.887
46621,beat.e2e_ms,145.000
46621,server.dwell_ms,132.428
46794,network.rtt_ms,7.000
46978,beat.e2e_ms,38.000
46978,server.dwell_ms,1.232
47415,beat.e2e_ms,5.000
47415,server.dwell_ms,1.687
47883,beat.e2e_ms,4.000
47883,server.dwell_ms,1.463
48359,beat.e2e_ms,11.000
48359,server.dwell_ms,3.118
48883,beat.e2e_ms,65.000
48883,server.dwell_ms,49.745
49386,beat.e2e_ms,99.000
49386,server.dwell_ms,1.194
49760,beat.e2e_ms,4.000
49760,server.dwell_ms,1.371
50230,beat.e2e_ms,4.000
50230,server.dwell_ms,1.127
50698,beat.e2e_ms,3.000
50698,server.dwell_ms,1.165
51125,beat.e2e_ms,3.000
51125,server.dwell_ms,1.323
51638,beat.e2e_ms,4.000
51638,server.dwell_ms,1.397
51786,network.rtt_ms,1.000
52069,beat.e2e_ms,8.000
52069,server.dwell_ms,1.446
52537,beat.e2e_ms,2.000
52537,server.dwell_ms,1.189
53002,beat.e2e_ms,3.000
53002,server.dwell_ms,1.265
53476,beat.e2e_ms,7.000
53476,server.dwell_ms,1.469
53971,beat.e2e_ms,30.000
53971,server.dwell_ms,27.795
54282,beat.e2e_ms,3.000
54282,server.dwell_ms,1.140
54710,beat.e2e_ms,3.000
54710,server.dwell_ms,1.716
55180,beat.e2e_ms,4.000
55180,server.dwell_ms,1.130
55551,lighting.frame,104.000
55551,lighting.e2e_ms,120.000
55551,server.dwell_ms,112.689
55551,lighting.frame,105.000
55551,lighting.e2e_ms,120.000
55551,lighting.frame,106.000
55551,lighting.e2e_ms,120.000
55551,lighting.frame,107.000
55551,lighting.e2e_ms,120.000
55551,lighting.frame,108.000
55551,lighting.e2e_ms,120.000
55551,lighting.frame,109.000
55551,lighting.e2e_ms,120.000
55551,lighting.frame,110.000
55551,lighting.e2e_ms,120.000
55551,lighting.frame,111.000
55551,lighting.e2e_ms,120.000
55551,lighting.frame,112.000
55551,lighting.e2e_ms,120.000
55551,lighting.frame,113.000
55551,lighting.e2e_ms,120.000
55551,lighting.frame,114.000
55551,lighting.e2e_ms,120.000
55552,lighting.frame,115.000
55552,lighting.e2e_ms,121.000
55552,lighting.frame,116.000
55552,lighting.e2e_ms,121.000
55552,lighting.frame,117.000
55552,lighting.e2e_ms,121.000
55552,lighting.frame,118.000
55552,lighting.e2e_ms,121.000
55552,lighting.frame,119.000
55552,lighting.e2e_ms,121.000
55552,lighting.frame,120.000
55552,lighting.e2e_ms,121.000
55552,lighting.frame,121.000
55552,lighting.e2e_ms,121.000
55552,lighting.frame,122.000
55552,lighting.e2e_ms,121.000
55552,lighting.frame,123.000
55552,lighting.e2e_ms,121.000
55552,lighting.frame,124.000
55552,lighting.e2e_ms,121.000
55552,lighting.frame,125.000
55552,lighting.e2e_ms,121.000
55772,beat.e2e_ms,127.000
55772,server.dwell_ms,123.721
56138,beat.e2e_ms,67.000
56138,server.dwell_ms,57.538
56640,beat.e2e_ms,99.000
56640,server.dwell_ms,1.394
56783,network.rtt_ms,2.000
57017,beat.e2e_ms,7.000
57017,server.dwell_ms,1.387
57490,beat.e2e_ms,11.000
57490,server.dwell_ms,3.545
57914,beat.e2e_ms,8.000
57914,server.dwell_ms,1.722
58386,beat.e2e_ms,11.000
58386,server.dwell_ms,1.411
58898,beat.e2e_ms,53.000
58898,server.dwell_ms,49.250
59346,beat.e2e_ms,30.000
59346,server.dwell_ms,3.355
60004,beat.e2e_ms,93.000
60004,server.dwell_ms,77.856
60388,beat.e2e_ms,7.000
60388,server.dwell_ms,3.554
61041,beat.e2e_ms,63.000
61041,server.dwell_ms,59.911
61454,beat.e2e_ms,6.000
61454,server.dwell_ms,1.555
61783,network.rtt_ms,2.000
61925,beat.e2e_ms,3.000
61925,server.dwell_ms,1.275
62389,beat.e2e_ms,3.000
62389,server.dwell_ms,1.399
62865,beat.e2e_ms,10.000
62865,server.dwell_ms,1.262
63368,beat.e2e_ms,44.000
63368,server.dwell_ms,42.195
63840,beat.e2e_ms,3.000
63840,server.dwell_ms,1.413
64271,beat.e2e_ms,7.000
64271,server.dwell_ms,1.173
64736,beat.e2e_ms,4.000
64736,server.dwell_ms,1.525
,server.beat.ingest_ms,0.633
,server.beat.ingest_ms,0.561
,server.beat.ingest_ms,0.816
,server.beat.ingest_ms,0.567
,server.beat.ingest_ms,0.741
,server.beat.ingest_ms,0.575
,server.beat.ingest_ms,0.693
,server.beat.ingest_ms,0.625
,server.beat.ingest_ms,0.542
,server.beat.ingest_ms,0.559
,server.beat.ingest_ms,0.802
,server.beat.ingest_ms,0.653
,server.beat.ingest_ms,0.730
,server.beat.ingest_ms,0.562
,server.beat.ingest_ms,0.628
,server.beat.ingest_ms,0.722
,server.beat.ingest_ms,0.579
,server.beat.ingest_ms,0.922
,server.beat.ingest_ms,0.621
,server.beat.ingest_ms,0.805
,server.beat.ingest_ms,0.645
,server.beat.ingest_ms,0.588
,server.beat.ingest_ms,0.703
,server.beat.ingest_ms,0.877
,server.beat.ingest_ms,0.877
,server.beat.ingest_ms,0.529
,server.beat.ingest_ms,0.612
,server.beat.ingest_ms,0.693
,server.beat.ingest_ms,0.617
,server.beat.ingest_ms,0.886
,server.beat.ingest_ms,0.638
,server.beat.ingest_ms,0.671
,server.beat.ingest_ms,0.613
,server.beat.ingest_ms,0.777
,server.beat.ingest_ms,0.571
,server.beat.ingest_ms,0.607
,server.beat.ingest_ms,1.010
,server.beat.ingest_ms,0.678
,server.beat.ingest_ms,0.561
,server.beat.ingest_ms,1.370
,server.beat.ingest_ms,0.750
,server.beat.ingest_ms,0.582
,server.beat.ingest_ms,0.992
,server.beat.ingest_ms,0.552
,server.beat.ingest_ms,1.651
,server.beat.ingest_ms,0.783
,server.beat.ingest_ms,0.551
,server.beat.ingest_ms,0.673
,server.beat.ingest_ms,0.569
,server.beat.ingest_ms,0.679
,server.beat.ingest_ms,0.628
,server.beat.ingest_ms,0.995
,server.beat.ingest_ms,0.558
,server.beat.ingest_ms,0.751
,server.beat.ingest_ms,0.637
,server.beat.ingest_ms,1.029
,server.beat.ingest_ms,0.577
,server.beat.ingest_ms,0.917
,server.beat.ingest_ms,0.741
,server.beat.ingest_ms,0.693
,server.beat.ingest_ms,0.666
,server.beat.ingest_ms,0.799
,server.beat.ingest_ms,0.667
,server.beat.ingest_ms,0.579
,server.beat.ingest_ms,0.777
,server.beat.ingest_ms,0.629
,server.beat.ingest_ms,0.621
,server.beat.ingest_ms,0.551
,server.beat.ingest_ms,0.640
,server.beat.ingest_ms,0.690
,server.beat.ingest_ms,0.593
,server.beat.ingest_ms,0.627
,server.beat.ingest_ms,0.656
,server.beat.ingest_ms,0.576
,server.beat.ingest_ms,0.830
,server.beat.ingest_ms,0.576
,server.beat.ingest_ms,0.644
,server.beat.ingest_ms,0.792
,server.beat.ingest_ms,0.639
,server.beat.ingest_ms,0.772
,server.beat.ingest_ms,0.787
,server.beat.ingest_ms,0.563
,server.beat.ingest_ms,0.780
,server.beat.ingest_ms,0.559
,server.beat.ingest_ms,0.817
,server.beat.ingest_ms,0.557
,server.beat.ingest_ms,0.659
,server.beat.ingest_ms,0.607
,server.beat.ingest_ms,0.657
,server.beat.ingest_ms,0.647
,server.beat.ingest_ms,0.735
,server.beat.ingest_ms,0.560
,server.beat.ingest_ms,0.917
,server.beat.ingest_ms,0.564
,server.beat.ingest_ms,0.721
,server.beat.ingest_ms,0.639
,server.beat.ingest_ms,4.621
,server.beat.ingest_ms,4.131
,server.beat.ingest_ms,2.306
,server.beat.ingest_ms,0.855
,server.beat.ingest_ms,5.498
,server.beat.ingest_ms,0.842
,server.beat.ingest_ms,1.499
,server.beat.ingest_ms,0.573
,server.beat.ingest_ms,0.620
,server.beat.ingest_ms,0.718
,server.beat.ingest_ms,1.203
,server.beat.ingest_ms,0.810
,server.beat.ingest_ms,0.630
,server.beat.ingest_ms,0.814
,server.beat.ingest_ms,0.684
,server.beat.ingest_ms,0.665
,server.beat.ingest_ms,1.034
,server.beat.ingest_ms,3.644
,server.beat.ingest_ms,0.677
,server.beat.ingest_ms,0.610
,server.beat.ingest_ms,3.011
