# run_id=d11eb36f-5e67-4620-b963-61fd38477cfe
# config_label=Mac-local-MPS
# started_at=2026-06-04T12:27:33.132Z
# duration_ms=65015
# warmup_ms=5000
# protocol_version=1.0.0
# file_name=D# Fat (Original Mix).wav
# file_duration_ms=328593.7708333333
# chunk_size=2048
# sample_rate=48000
# chunks_sent=1523
# chunks_received=1523
# beats_real=17
# beats_synthetic=121
# lighting_frames=147
# device=mps
# beat_tracker=beatnet
# skip_bart=skipbart
# note_server_skip_ingest_queue_ms=time to enqueue chunk (not inference)
# note_server_skip_drain_queue_ms=time to dequeue predictions (not inference)
# note_server_skip_inference_ms=OpenL3 embed + Skip-BART decode on worker thread
# note_server_stage_raw_t_ms=blank for backend samples (no client clock)
t_ms,metric,value
66,network.rtt_ms,1.000
1110,beat.e2e_ms,51.000
1110,server.dwell_ms,47.906
1528,beat.e2e_ms,38.000
1528,server.dwell_ms,35.333
2172,beat.e2e_ms,46.000
2172,server.dwell_ms,43.139
2598,beat.e2e_ms,45.000
2598,server.dwell_ms,41.127
2880,beat.e2e_ms,67.000
2880,server.dwell_ms,2.039
3125,beat.e2e_ms,18.000
3125,server.dwell_ms,1.318
3448,beat.e2e_ms,41.000
3448,server.dwell_ms,34.571
3652,beat.e2e_ms,33.000
3652,server.dwell_ms,30.967
3966,beat.e2e_ms,5.000
3966,server.dwell_ms,0.659
4294,beat.e2e_ms,31.000
4294,server.dwell_ms,29.256
4394,lighting.frame,1.000
4394,lighting.e2e_ms,7.000
4394,server.dwell_ms,3.039
4395,lighting.frame,2.000
4395,lighting.e2e_ms,8.000
4395,lighting.frame,3.000
4395,lighting.e2e_ms,8.000
4395,lighting.frame,4.000
4395,lighting.e2e_ms,8.000
4395,lighting.frame,5.000
4395,lighting.e2e_ms,8.000
4395,lighting.frame,6.000
4395,lighting.e2e_ms,8.000
4395,lighting.frame,7.000
4395,lighting.e2e_ms,8.000
4395,lighting.frame,8.000
4395,lighting.e2e_ms,8.000
4395,lighting.frame,9.000
4395,lighting.e2e_ms,8.000
4395,lighting.frame,10.000
4395,lighting.e2e_ms,8.000
4395,lighting.frame,11.000
4395,lighting.e2e_ms,8.000
4395,lighting.frame,12.000
4395,lighting.e2e_ms,8.000
4395,lighting.frame,13.000
4395,lighting.e2e_ms,8.000
4395,lighting.frame,14.000
4395,lighting.e2e_ms,8.000
4395,lighting.frame,15.000
4395,lighting.e2e_ms,8.000
4395,lighting.frame,16.000
4395,lighting.e2e_ms,8.000
4395,lighting.frame,17.000
4395,lighting.e2e_ms,8.000
4395,lighting.frame,18.000
4395,lighting.e2e_ms,8.000
4525,beat.e2e_ms,49.000
4525,server.dwell_ms,45.217
5049,beat.e2e_ms,107.000
5049,server.dwell_ms,0.705
5065,network.rtt_ms,1.000
5247,beat.e2e_ms,6.000
5247,server.dwell_ms,2.283
5650,beat.e2e_ms,66.000
5650,server.dwell_ms,0.839
5885,beat.e2e_ms,4.000
5885,server.dwell_ms,1.766
6353,beat.e2e_ms,3.000
6353,server.dwell_ms,1.431
6790,beat.e2e_ms,13.000
6790,server.dwell_ms,0.677
7163,beat.e2e_ms,2.000
7163,server.dwell_ms,0.686
7502,beat.e2e_ms,42.000
7502,server.dwell_ms,37.561
7846,beat.e2e_ms,3.000
7846,server.dwell_ms,0.680
8272,beat.e2e_ms,2.000
8272,server.dwell_ms,0.662
8659,beat.e2e_ms,5.000
8659,server.dwell_ms,0.660
8879,lighting.frame,19.000
8879,lighting.e2e_ms,12.000
8879,server.dwell_ms,4.117
8880,lighting.frame,20.000
8880,lighting.e2e_ms,13.000
8880,lighting.frame,21.000
8880,lighting.e2e_ms,13.000
8880,lighting.frame,22.000
8880,lighting.e2e_ms,13.000
8880,lighting.frame,23.000
8880,lighting.e2e_ms,13.000
8880,lighting.frame,24.000
8880,lighting.e2e_ms,13.000
8880,lighting.frame,25.000
8880,lighting.e2e_ms,13.000
8880,lighting.frame,26.000
8880,lighting.e2e_ms,13.000
8880,lighting.frame,27.000
8880,lighting.e2e_ms,13.000
8880,lighting.frame,28.000
8880,lighting.e2e_ms,13.000
8880,lighting.frame,29.000
8880,lighting.e2e_ms,13.000
8880,lighting.frame,30.000
8880,lighting.e2e_ms,13.000
8880,lighting.frame,31.000
8880,lighting.e2e_ms,13.000
8880,lighting.frame,32.000
8880,lighting.e2e_ms,13.000
8880,lighting.frame,33.000
8880,lighting.e2e_ms,13.000
8880,lighting.frame,34.000
8880,lighting.e2e_ms,13.000
8880,lighting.frame,35.000
8880,lighting.e2e_ms,13.000
8880,lighting.frame,36.000
8880,lighting.e2e_ms,13.000
8880,lighting.frame,37.000
8880,lighting.e2e_ms,13.000
8880,lighting.frame,38.000
8880,lighting.e2e_ms,13.000
8880,lighting.frame,39.000
8880,lighting.e2e_ms,13.000
9046,beat.e2e_ms,8.000
9046,server.dwell_ms,2.026
9538,beat.e2e_ms,159.000
9538,server.dwell_ms,152.243
9693,beat.e2e_ms,15.000
9693,server.dwell_ms,0.750
10078,network.rtt_ms,15.000
10115,beat.e2e_ms,10.000
10115,server.dwell_ms,2.605
10537,beat.e2e_ms,6.000
10537,server.dwell_ms,1.425
10993,beat.e2e_ms,77.000
10993,server.dwell_ms,0.693
11384,beat.e2e_ms,85.000
11384,server.dwell_ms,64.959
11782,beat.e2e_ms,55.000
11782,server.dwell_ms,33.515
12028,beat.e2e_ms,3.000
12028,server.dwell_ms,1.121
12454,beat.e2e_ms,3.000
12454,server.dwell_ms,0.756
12840,beat.e2e_ms,5.000
12840,server.dwell_ms,1.066
13232,beat.e2e_ms,13.000
13232,server.dwell_ms,10.337
13673,beat.e2e_ms,25.000
13673,server.dwell_ms,19.460
13874,beat.e2e_ms,15.000
13874,server.dwell_ms,12.533
14316,beat.e2e_ms,30.000
14316,server.dwell_ms,27.938
14676,beat.e2e_ms,6.000
14676,server.dwell_ms,0.810
15060,beat.e2e_ms,2.000
15060,server.dwell_ms,0.834
15063,network.rtt_ms,0.000
15486,beat.e2e_ms,2.000
15486,server.dwell_ms,0.708
15839,lighting.frame,40.000
15839,lighting.e2e_ms,17.000
15839,server.dwell_ms,5.636
15842,lighting.frame,41.000
15842,lighting.e2e_ms,20.000
15846,lighting.frame,42.000
15846,lighting.e2e_ms,24.000
15847,lighting.frame,43.000
15847,lighting.e2e_ms,25.000
15847,lighting.frame,44.000
15847,lighting.e2e_ms,25.000
15847,lighting.frame,45.000
15847,lighting.e2e_ms,25.000
15847,lighting.frame,46.000
15847,lighting.e2e_ms,25.000
15847,lighting.frame,47.000
15847,lighting.e2e_ms,25.000
15847,lighting.frame,48.000
15847,lighting.e2e_ms,25.000
15847,lighting.frame,49.000
15847,lighting.e2e_ms,25.000
15847,lighting.frame,50.000
15847,lighting.e2e_ms,25.000
15847,lighting.frame,51.000
15847,lighting.e2e_ms,25.000
15847,lighting.frame,52.000
15847,lighting.e2e_ms,25.000
15847,lighting.frame,53.000
15847,lighting.e2e_ms,25.000
15847,lighting.frame,54.000
15847,lighting.e2e_ms,25.000
15847,lighting.frame,55.000
15847,lighting.e2e_ms,25.000
15847,lighting.frame,56.000
15847,lighting.e2e_ms,25.000
15847,lighting.frame,57.000
15847,lighting.e2e_ms,25.000
15847,lighting.frame,58.000
15847,lighting.e2e_ms,25.000
15847,lighting.frame,59.000
15847,lighting.e2e_ms,25.000
15847,lighting.frame,60.000
15847,lighting.e2e_ms,25.000
15870,beat.e2e_ms,5.000
15870,server.dwell_ms,1.738
16300,beat.e2e_ms,9.000
16300,server.dwell_ms,1.059
16688,beat.e2e_ms,12.000
16688,server.dwell_ms,1.540
17161,beat.e2e_ms,100.000
17161,server.dwell_ms,92.534
17417,beat.e2e_ms,101.000
17417,server.dwell_ms,2.225
17788,beat.e2e_ms,3.000
17788,server.dwell_ms,0.747
18257,beat.e2e_ms,3.000
18257,server.dwell_ms,0.832
18728,beat.e2e_ms,5.000
18728,server.dwell_ms,2.330
19223,beat.e2e_ms,30.000
19223,server.dwell_ms,25.635
19933,beat.e2e_ms,13.000
19933,server.dwell_ms,0.642
20149,network.rtt_ms,86.000
20536,beat.e2e_ms,21.000
20536,server.dwell_ms,2.075
21030,beat.e2e_ms,3.000
21030,server.dwell_ms,1.069
21568,beat.e2e_ms,28.000
21568,server.dwell_ms,26.723
22013,beat.e2e_ms,3.000
22013,server.dwell_ms,0.976
22482,beat.e2e_ms,3.000
22482,server.dwell_ms,0.924
22908,beat.e2e_ms,2.000
22908,server.dwell_ms,0.844
23419,beat.e2e_ms,2.000
23419,server.dwell_ms,0.929
23846,beat.e2e_ms,3.000
23846,server.dwell_ms,0.918
24346,beat.e2e_ms,33.000
24346,server.dwell_ms,31.781
24769,beat.e2e_ms,29.000
24769,server.dwell_ms,23.966
25063,network.rtt_ms,1.000
25254,beat.e2e_ms,3.000
25254,server.dwell_ms,0.765
25528,lighting.frame,61.000
25528,lighting.e2e_ms,20.000
25528,server.dwell_ms,5.477
25528,lighting.frame,62.000
25528,lighting.e2e_ms,20.000
25528,lighting.frame,63.000
25528,lighting.e2e_ms,20.000
25528,lighting.frame,64.000
25528,lighting.e2e_ms,20.000
25528,lighting.frame,65.000
25528,lighting.e2e_ms,20.000
25528,lighting.frame,66.000
25528,lighting.e2e_ms,20.000
25528,lighting.frame,67.000
25528,lighting.e2e_ms,20.000
25528,lighting.frame,68.000
25528,lighting.e2e_ms,20.000
25528,lighting.frame,69.000
25528,lighting.e2e_ms,20.000
25528,lighting.frame,70.000
25528,lighting.e2e_ms,20.000
25528,lighting.frame,71.000
25528,lighting.e2e_ms,20.000
25529,lighting.frame,72.000
25529,lighting.e2e_ms,21.000
25529,lighting.frame,73.000
25529,lighting.e2e_ms,21.000
25529,lighting.frame,74.000
25529,lighting.e2e_ms,21.000
25529,lighting.frame,75.000
25529,lighting.e2e_ms,21.000
25529,lighting.frame,76.000
25529,lighting.e2e_ms,21.000
25529,lighting.frame,77.000
25529,lighting.e2e_ms,21.000
25529,lighting.frame,78.000
25529,lighting.e2e_ms,21.000
25529,lighting.frame,79.000
25529,lighting.e2e_ms,21.000
25529,lighting.frame,80.000
25529,lighting.e2e_ms,21.000
25529,lighting.frame,81.000
25529,lighting.e2e_ms,21.000
25529,lighting.frame,82.000
25529,lighting.e2e_ms,21.000
25647,beat.e2e_ms,10.000
25647,server.dwell_ms,7.145
26162,beat.e2e_ms,100.000
26162,server.dwell_ms,0.830
26520,beat.e2e_ms,31.000
26520,server.dwell_ms,1.816
27161,beat.e2e_ms,73.000
27161,server.dwell_ms,68.956
