# run_id=b4e44830-5763-499a-ade4-1d84c1783383
# config_label=Windows-CUDA-LAN-run3
# started_at=2026-06-04T12:40:40.165Z
# duration_ms=65024
# warmup_ms=5000
# protocol_version=1.0.0
# file_name=D# Fat (Original Mix).wav
# file_duration_ms=328593.7708333333
# chunk_size=2048
# sample_rate=48000
# chunks_sent=1524
# chunks_received=1524
# beats_real=23
# beats_synthetic=95
# lighting_frames=147
# device=cuda:NVIDIA GeForce RTX 2070 SUPER
# beat_tracker=beatnet
# skip_bart=skipbart
# note_server_skip_ingest_queue_ms=time to enqueue chunk (not inference)
# note_server_skip_drain_queue_ms=time to dequeue predictions (not inference)
# note_server_skip_inference_ms=OpenL3 embed + Skip-BART decode on worker thread
# note_server_stage_raw_t_ms=blank for backend samples (no client clock)
t_ms,metric,value
437,beat.e2e_ms,54.000
437,server.dwell_ms,49.911
1119,beat.e2e_ms,96.000
1119,server.dwell_ms,87.981
2688,beat.e2e_ms,169.000
2688,server.dwell_ms,159.641
2716,network.rtt_ms,156.000
3565,beat.e2e_ms,195.000
3565,server.dwell_ms,191.232
3869,beat.e2e_ms,72.000
3869,server.dwell_ms,62.723
4401,beat.e2e_ms,7.000
4401,server.dwell_ms,1.302
4613,lighting.frame,1.000
4613,lighting.e2e_ms,6.000
4613,server.dwell_ms,1.664
4613,lighting.frame,2.000
4613,lighting.e2e_ms,6.000
4614,lighting.frame,3.000
4614,lighting.e2e_ms,7.000
4614,lighting.frame,4.000
4614,lighting.e2e_ms,7.000
4614,lighting.frame,5.000
4614,lighting.e2e_ms,7.000
4614,lighting.frame,6.000
4614,lighting.e2e_ms,7.000
4614,lighting.frame,7.000
4614,lighting.e2e_ms,7.000
4614,lighting.frame,8.000
4614,lighting.e2e_ms,7.000
4614,lighting.frame,9.000
4614,lighting.e2e_ms,7.000
4614,lighting.frame,10.000
4614,lighting.e2e_ms,7.000
4615,lighting.frame,11.000
4615,lighting.e2e_ms,8.000
4615,lighting.frame,12.000
4615,lighting.e2e_ms,8.000
4615,lighting.frame,13.000
4615,lighting.e2e_ms,8.000
4615,lighting.frame,14.000
4615,lighting.e2e_ms,8.000
4615,lighting.frame,15.000
4615,lighting.e2e_ms,8.000
4615,lighting.frame,16.000
4615,lighting.e2e_ms,8.000
4615,lighting.frame,17.000
4615,lighting.e2e_ms,8.000
4615,lighting.frame,18.000
4615,lighting.e2e_ms,8.000
5049,beat.e2e_ms,15.000
5049,server.dwell_ms,6.971
5876,beat.e2e_ms,31.000
5876,server.dwell_ms,2.569
6906,beat.e2e_ms,123.000
6906,server.dwell_ms,117.829
7563,network.rtt_ms,2.000
7904,beat.e2e_ms,11.000
7904,server.dwell_ms,1.597
8849,beat.e2e_ms,18.000
8849,server.dwell_ms,1.632
9387,lighting.frame,19.000
9387,lighting.e2e_ms,253.000
9387,server.dwell_ms,247.556
9388,lighting.frame,20.000
9388,lighting.e2e_ms,254.000
9388,lighting.frame,21.000
9388,lighting.e2e_ms,254.000
9388,lighting.frame,22.000
9388,lighting.e2e_ms,254.000
9388,lighting.frame,23.000
9388,lighting.e2e_ms,254.000
9388,lighting.frame,24.000
9388,lighting.e2e_ms,254.000
9389,lighting.frame,25.000
9389,lighting.e2e_ms,255.000
9390,lighting.frame,26.000
9390,lighting.e2e_ms,256.000
9390,lighting.frame,27.000
9390,lighting.e2e_ms,256.000
9393,lighting.frame,28.000
9393,lighting.e2e_ms,259.000
9393,lighting.frame,29.000
9393,lighting.e2e_ms,259.000
9394,lighting.frame,30.000
9394,lighting.e2e_ms,260.000
9394,lighting.frame,31.000
9394,lighting.e2e_ms,260.000
9394,lighting.frame,32.000
9394,lighting.e2e_ms,260.000
9394,lighting.frame,33.000
9394,lighting.e2e_ms,260.000
9397,lighting.frame,34.000
9397,lighting.e2e_ms,263.000
9399,lighting.frame,35.000
9399,lighting.e2e_ms,265.000
9405,lighting.frame,36.000
9405,lighting.e2e_ms,271.000
9405,lighting.frame,37.000
9405,lighting.e2e_ms,271.000
9405,lighting.frame,38.000
9405,lighting.e2e_ms,271.000
9405,lighting.frame,39.000
9405,lighting.e2e_ms,271.000
9882,beat.e2e_ms,155.000
9882,server.dwell_ms,3.196
10810,beat.e2e_ms,16.000
10810,server.dwell_ms,1.620
11792,beat.e2e_ms,59.000
11792,server.dwell_ms,1.527
12654,network.rtt_ms,89.000
12683,beat.e2e_ms,12.000
12683,server.dwell_ms,2.031
13577,beat.e2e_ms,7.000
13577,server.dwell_ms,1.787
14598,beat.e2e_ms,7.000
14598,server.dwell_ms,2.053
15628,beat.e2e_ms,98.000
15628,server.dwell_ms,89.053
15922,lighting.frame,40.000
15922,lighting.e2e_ms,8.000
15922,server.dwell_ms,2.273
15922,lighting.frame,41.000
15922,lighting.e2e_ms,8.000
15923,lighting.frame,42.000
15923,lighting.e2e_ms,9.000
15923,lighting.frame,43.000
15923,lighting.e2e_ms,9.000
15923,lighting.frame,44.000
15923,lighting.e2e_ms,9.000
15923,lighting.frame,45.000
15923,lighting.e2e_ms,9.000
15923,lighting.frame,46.000
15923,lighting.e2e_ms,9.000
15923,lighting.frame,47.000
15923,lighting.e2e_ms,9.000
15923,lighting.frame,48.000
15923,lighting.e2e_ms,9.000
15923,lighting.frame,49.000
15923,lighting.e2e_ms,9.000
15924,lighting.frame,50.000
15924,lighting.e2e_ms,10.000
15924,lighting.frame,51.000
15924,lighting.e2e_ms,10.000
15924,lighting.frame,52.000
15924,lighting.e2e_ms,10.000
15924,lighting.frame,53.000
15924,lighting.e2e_ms,10.000
15924,lighting.frame,54.000
15924,lighting.e2e_ms,10.000
15924,lighting.frame,55.000
15924,lighting.e2e_ms,10.000
15924,lighting.frame,56.000
15924,lighting.e2e_ms,10.000
15924,lighting.frame,57.000
15924,lighting.e2e_ms,10.000
15924,lighting.frame,58.000
15924,lighting.e2e_ms,10.000
15924,lighting.frame,59.000
15924,lighting.e2e_ms,10.000
15933,lighting.frame,60.000
15933,lighting.e2e_ms,19.000
16594,beat.e2e_ms,124.000
16594,server.dwell_ms,1.637
17681,network.rtt_ms,120.000
18128,beat.e2e_ms,251.000
18128,server.dwell_ms,133.918
19037,beat.e2e_ms,264.000
19037,server.dwell_ms,2.643
19746,beat.e2e_ms,77.000
19746,server.dwell_ms,3.460
20616,beat.e2e_ms,8.000
20616,server.dwell_ms,2.168
21578,beat.e2e_ms,74.000
21578,server.dwell_ms,67.930
22482,beat.e2e_ms,125.000
22482,server.dwell_ms,116.626
22563,network.rtt_ms,3.000
22887,beat.e2e_ms,103.000
22887,server.dwell_ms,96.398
23602,beat.e2e_ms,8.000
23602,server.dwell_ms,1.742
24397,beat.e2e_ms,118.000
24397,server.dwell_ms,110.338
24595,beat.e2e_ms,103.000
24595,server.dwell_ms,94.713
